Z:\home\cetin\projects\elkarto\esp32\laptop>python monitor.py
connecting to ws://192.168.4.1:81 ...
connected. type: kp <kp> <ki> <kd>  to push new PID gains
[11:43:12] gas=2101 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2096 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2099 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2096 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2099 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2098 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2094 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2092 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2093 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:12] gas=2087 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[esp32] uptime=72000ms heap=223316B clients=1
[11:43:13] gas=2093 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2087 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2090 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2086 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2082 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=1997 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2008 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2176 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2177 brake=3372 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=1985 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2125 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2050 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2117 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2062 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2019 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:13] gas=2011 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
